asset,periods_held,total_contribution,mean_per_period,sharpe
STX,380,0.021784626574550634,5.732796466987009e-05,2.6674884995421846
WDC,330,0.019612532329957483,5.9431916151386316e-05,2.497654871839315
MU,346,0.01833724563243538,5.2997819746923066e-05,2.2338808164418964
HWM,675,0.018083540259222555,2.6790430013663044e-05,2.128577642562082
LRCX,370,0.013299473675304983,3.594452344677022e-05,1.874928691295456
AMD,270,0.013107508195660516,4.8546326650594505e-05,2.083717573634657
KLAC,391,0.013078869271464455,3.344979353315717e-05,1.801196216315202
NVDA,334,0.012792810808142117,3.830182876689257e-05,2.2298375471477594
ANET,315,0.012702317283118002,4.032481677180318e-05,2.5067734955386087
GLW,370,0.01227559742018713,3.3177290324830086e-05,1.7614404487575044
AMAT,295,0.011826382303696061,4.008943153795275e-05,2.2094049415595887
RCL,525,0.011323421641487919,2.1568422174262702e-05,1.4659546248101663
APH,358,0.010210591550581146,2.852120544855069e-05,2.103708469648684
INTC,204,0.010162117089621869,4.981429945893073e-05,1.9492454617537054
GEV,316,0.009826736405653845,3.109726710649951e-05,1.6974391920750183
CEG,377,0.009509372222455154,2.5223798998554783e-05,1.19889309913209
TPR,379,0.009269980528471368,2.445905152630968e-05,1.5068092998667413
AVGO,421,0.0090688295569316,2.1541162843067934e-05,1.1821265200711304
META,412,0.00894852488105213,2.1719720585077986e-05,1.5751500943123304
BK,541,0.00863639235160207,1.596375665730512e-05,1.9881655590490377
NFLX,505,0.00834118673356264,1.6517201452599287e-05,1.360472020738248
AXON,363,0.0082002073140165,2.2590102793433883e-05,1.1198401577480024
WELL,562,0.007734894462132351,1.376315740592945e-05,1.7334215754314208
NRG,547,0.007455771102296366,1.3630294519737415e-05,0.8372658410732402
TER,110,0.007287344012484242,6.624858193167493e-05,2.4236160826489663
PHM,262,0.006914376438218587,2.639074976419308e-05,2.0750012872009034
GE,391,0.006711055304992426,1.7163824309443544e-05,1.2925348305699291
TT,380,0.006196344633402183,1.630617008790048e-05,1.5590196976121615
COST,412,0.005872581943252775,1.425383966808926e-05,1.8319712097504692
TRGP,373,0.005755368980056082,1.5429943646262954e-05,1.3558755623002305
LLY,254,0.005731383850289774,2.2564503347597536e-05,1.9454879493838961
JCI,351,0.005697680682567072,1.6232708497342086e-05,1.4325195934330954
GS,457,0.0056203178559342815,1.2298288525020309e-05,1.032197250031051
BSX,448,0.005586165750181852,1.2469119978084492e-05,1.6959328196624643
JBL,238,0.00551300628793826,2.3163891966127144e-05,1.5409504199515018
CAT,294,0.005380472140199548,1.8300925646937237e-05,1.4465894823051386
HLT,410,0.0052787750137807884,1.2875061009221436e-05,1.5171772884562287
RTX,442,0.0048249384654347974,1.0916150374286872e-05,1.1800886219227367
MPWR,208,0.004805811448108805,2.3104862731292335e-05,1.1254175201211052
CTAS,241,0.0047317875086447785,1.9633973064916095e-05,2.6370588291726293
FCX,49,0.004446950979787354,9.075410162831336e-05,5.794558681280766
LEN,153,0.004388084462983627,2.868029060773612e-05,2.334792716195052
MCK,417,0.004378796537242138,1.0500711120484742e-05,0.9958654324148721
TMUS,319,0.004331597722524172,1.3578676246157278e-05,1.5667586517523422
IR,221,0.004322112791527024,1.9557071454873413e-05,1.8855039658341564
PH,391,0.004147321877515988,1.0606961323570301e-05,1.1506912505351277
CAH,394,0.004129954813136224,1.048211881506656e-05,1.024092061104148
BRO,415,0.004099607320909782,9.878571857613933e-06,1.3458197011133197
WMB,320,0.004089130571380562,1.2778533035564255e-05,1.3851218886019596
ECL,242,0.004023847498454736,1.6627469001879076e-05,1.9932458589734816
CMI,261,0.0040119127075333195,1.5371313055683216e-05,1.164600212757635
IRM,311,0.003971284136560369,1.2769402368361316e-05,1.1373590286610944
GM,213,0.0039560602674698535,1.85730528989195e-05,1.3778852295212813
AMZN,245,0.003950361031720753,1.6123922578452054e-05,1.5488301019600914
NEM,201,0.0039310977771842386,1.9557700384001188e-05,1.0270972121116453
TDG,287,0.0038418728265004363,1.3386316468642635e-05,1.299861303102658
KEYS,85,0.0038315839615141677,4.5077458370754915e-05,2.164190701386178
ETN,258,0.003816469261514265,1.479251651749715e-05,1.3719342911241048
L,407,0.0037559774207376884,9.228445751198252e-06,1.5262592310744953
FOX,312,0.0037493519444569954,1.2017153668131395e-05,1.1548826062687154
MAR,219,0.0037116643862225678,1.6948239206495745e-05,2.084365286747228
FICO,333,0.0036741278968832353,1.1033417107757463e-05,0.8516113662870826
C,340,0.0036392404918304906,1.0703648505383795e-05,0.9556791347699708
GOOG,359,0.0036090100442314134,1.0052952769446834e-05,0.8944157835476658
JPM,502,0.0035703097471740594,7.112170811103704e-06,0.8130932678510489
CBOE,366,0.0035150694228454913,9.604014816517736e-06,1.1244853715284686
GOOGL,353,0.0034919430599452453,9.892189971516275e-06,0.8814039863293328
CRM,135,0.003458999016557666,2.5622214937464196e-05,2.239554525578051
GILD,266,0.0034393829802576515,1.2930011203976133e-05,1.3493038893934302
FOXA,340,0.00334602933692167,9.841262755651971e-06,0.9296968047239579
DFS,134,0.003224998331220378,2.406715172552521e-05,1.2782332536540677
DHI,142,0.0032202064266518547,2.2677510046844048e-05,1.7647726721732333
WAB,391,0.0031997804585368965,8.183581735388483e-06,0.8625357622985488
BRKB,368,0.0031486856138495138,8.556210907199766e-06,1.5193404349927366
ADI,100,0.003141680896485285,3.141680896485285e-05,2.2210829637704337
DELL,27,0.0031369062046022623,0.00011618171128156527,3.0597483956597515
NVR,170,0.003066029676278788,1.803546868399287e-05,1.916236055176436
DVA,139,0.003061136570535916,2.2022565255654072e-05,1.792929129599615
FLT,96,0.0030290338329959296,3.155243576037427e-05,2.9933646616095357
NUE,94,0.0029541047986455867,3.142664679410199e-05,3.2335499632877394
PWR,395,0.002950675676099467,7.470065002783461e-06,0.4962524845309619
INTU,171,0.002898838331420753,1.6952270943981013e-05,1.615096349512703
EBAY,262,0.002858368878689976,1.0909804880496091e-05,0.7771215028913289
NI,326,0.0028181266376252944,8.6445602381144e-06,1.2447910085639544
PM,311,0.0028025938653789516,9.011555837231355e-06,0.8998840150452283
RSG,408,0.0026646684023121548,6.531050005667046e-06,1.1178333765516963
GWW,252,0.0026493922911830286,1.0513461472948526e-05,1.3288312908071418
MRNA,24,0.0026149297847611838,0.00010895540769838265,5.313698897863324
JNJ,160,0.002550232228278126,1.5938951426738286e-05,2.509300624673183
WFC,234,0.002540250152694366,1.0855769883309256e-05,1.080553882695095
GRMN,342,0.0025343013071460127,7.410237740193019e-06,0.6521538393250845
WYNN,109,0.0025315711568905754,2.32254234577117e-05,1.7554188916592228
OKE,203,0.002529120910823508,1.245872369863797e-05,1.32683460407645
HIG,332,0.0025097494985155213,7.559486441311811e-06,0.9572947797122041
TRV,128,0.0024861304554401184,1.9422894183125925e-05,2.868420524527484
TTWO,333,0.002379816198641645,7.1465951911160515e-06,0.7338933347074407
TJX,456,0.002364706191391939,5.185759191648989e-06,0.7805652746786811
NTAP,208,0.002351699247397733,1.130624638171987e-05,0.7895783012069453
SNPS,144,0.0023468032395631386,1.6297244719188463e-05,1.178577349000186
HPE,24,0.002342360960808515,9.759837336702146e-05,3.2927381753849043
PTC,169,0.0022869318692206033,1.3532141237991736e-05,1.7488512861087595
MSI,279,0.002279935422562458,8.171811550403075e-06,1.0890823161967984
CB,168,0.0022279273375406354,1.3261472247265687e-05,1.6833027486247776
STT,261,0.002203689784167037,8.443255878034624e-06,0.874061691054338
WST,71,0.0021832351609329735,3.074979099905596e-05,3.0127932079296036
T,311,0.0021813935202587053,7.0141270747868335e-06,0.8316368131563091
STLD,109,0.002174939717098605,1.9953575386225736e-05,1.524070765755787
CSCO,283,0.0021247244948302602,7.507860405760637e-06,0.8125525591021061
ALL,244,0.0020917343105358232,8.572681600556653e-06,1.035504073114976
CBRE,291,0.0020763235425558502,7.135132448645534e-06,0.696302044588541
WBD,214,0.002060806484398605,9.629936842984136e-06,0.7428099040381607
ISRG,269,0.0019215420863710744,7.143279131490983e-06,0.594356871190927
NTRS,250,0.0019152292384374695,7.660916953749878e-06,0.7876011476369104
COR,247,0.0019020182926033505,7.700478917422471e-06,0.8234093219288201
FI,235,0.0018778793511178278,7.990975962203523e-06,0.7578707127644496
TYL,245,0.0018566422784596736,7.578131748814995e-06,0.7630447819462236
SPG,162,0.0018173661263685267,1.1218309422027942e-05,1.1780670878281625
RL,410,0.0017998224280922738,4.3898108002250584e-06,0.3301175084580818
PGR,345,0.001756756917437123,5.092049036049632e-06,0.5987823615098464
ROST,215,0.001755861183826356,8.166796203843517e-06,0.8500086078912078
URI,192,0.0017547140840060973,9.139135854198424e-06,0.6447669963955805
PKG,226,0.0017540816450909327,7.761423208366959e-06,0.9285060017063417
CARR,43,0.0017079385852766386,3.971950198317764e-05,4.02436733613442
CHTR,56,0.0017062472528901564,3.0468700944467078e-05,2.929348321724722
IBM,365,0.0017002738207326199,4.658284440363342e-06,0.4576680837785491
WRK,98,0.0016635108457742158,1.6974600467083835e-05,1.5144800157963079
HST,34,0.00165672860888251,4.8727312025956176e-05,5.416204484212262
EA,166,0.0016516549152345594,9.949728405027466e-06,1.1389324253929995
EVRG,310,0.0016499778626171465,5.32250923424886e-06,0.9520481100789261
LHX,210,0.0015701010609507913,7.476671718813291e-06,0.757984577501039
MNST,215,0.001569331511973255,7.299216334759326e-06,0.8183725661707559
TEL,175,0.0015539230476437885,8.879560272250219e-06,0.711376657774335
VLO,166,0.0015434889215376899,9.298126033359577e-06,0.7399476558641582
NWSA,162,0.001534695201331818,9.473427168714926e-06,1.0034508104426614
IVZ,146,0.001517874586397724,1.039640127669674e-05,0.7826781890127792
ALGN,21,0.001484863796642832,7.070779984013486e-05,4.157806794153551
ADM,93,0.001441649678680659,1.5501609448179127e-05,1.440284317511878
V,297,0.0014162604915369424,4.768553843558728e-06,0.7293196175883884
HAS,153,0.0013633243656167133,8.910616768736689e-06,0.8238633263223677
GL,192,0.0013512700704039079,7.0378649500203535e-06,0.7805633781709443
NOW,176,0.001321618841487122,7.509197962995011e-06,0.6642726810670195
KMI,250,0.0013206303794144742,5.282521517657896e-06,0.5732694627575596
CNP,231,0.0012870024779302119,5.571439298399185e-06,0.9870833900864292
ROP,111,0.0012773174202923704,1.1507364146778112e-05,1.8509547079955058
NDAQ,312,0.00127193168127459,4.076704106649327e-06,0.42531635646166005
KEY,92,0.001236419186169167,1.343933898009964e-05,1.367805342184733
ZTS,15,0.0012235573212009728,8.157048808006486e-05,5.42778573917653
MA,170,0.001215797390953338,7.151749358549048e-06,1.05046201506792
ICE,301,0.0012082441043138495,4.014100014331726e-06,0.6395679186072166
MS,307,0.0012069624011251821,3.931473619300268e-06,0.3427183311874339
GNRC,61,0.0011162548538908735,1.8299259899850385e-05,1.0239942439807461
AEE,264,0.0010686247661270093,4.047821083814429e-06,0.6587520671395598
LIN,92,0.0010521316287300157,1.143621335576104e-05,1.6347113932489838
BLK,148,0.0010481963766658193,7.082407950444726e-06,0.7912877291453589
PPL,209,0.0010311198315446268,4.933587710739841e-06,0.7695141227861068
FAST,152,0.0010121889616191617,6.659137905389222e-06,0.8561956967993033
SYF,261,0.0010104008362592787,3.871267571874631e-06,0.27132582838262737
UHS,103,0.0009995066065769738,9.703947636669649e-06,0.7201249661300113
ODFL,47,0.0009631994149645587,2.0493604573714013e-05,1.8051527891950685
PAYX,76,0.0009384857482825975,1.2348496687928916e-05,1.44637441472311
KR,142,0.0008926036500736674,6.2859411977018825e-06,0.7092575038255855
HBAN,17,0.0008495373622846095,4.9972786016741734e-05,4.714794315155509
ON,48,0.0008488998662549497,1.7685413880311453e-05,0.7172588969489965
GD,229,0.0008460867260954919,3.694701860679004e-06,0.4636025593521466
PODD,174,0.0008423181606924543,4.840908969496864e-06,0.38740438549082873
MLM,219,0.0008228820306533787,3.7574521947642863e-06,0.39502701439949023
SCHW,197,0.0008132829437481565,4.12833981598049e-06,0.43828995754694067
VRSK,167,0.0008081814625659724,4.839409955484865e-06,0.6605233163595959
BKNG,356,0.0007930274037098049,2.2276050666005756e-06,0.22394268429814554
ANSS,25,0.0007736269108602489,3.094507643440996e-05,3.147210964729475
BIIB,41,0.0007723280981817657,1.883727068736014e-05,1.7566565713500264
MCHP,8,0.0007665314629214069,9.581643286517586e-05,4.726852120943045
NWS,260,0.0007382095220730663,2.8392673925887166e-06,0.2876666794328515
ROL,116,0.000731384204498447,6.3050362456762676e-06,0.7145159479811392
CDNS,175,0.0007066840519892436,4.038194582795678e-06,0.30239388020400215
PFG,10,0.0007051117283921723,7.051117283921724e-05,11.97170968603238
ROK,159,0.0006830194083705537,4.295719549500338e-06,0.41065291367879037
JBHT,34,0.0006804678607775616,2.0013760611104753e-05,1.740948954890461
ATO,341,0.0006756641328413175,1.9814197444026903e-06,0.32544141706033564
PLTR,124,0.0006666326798431476,5.376069998735061e-06,0.26436189567612955
TAP,29,0.0006496888656028906,2.240306433113416e-05,3.3027517934662884
PRU,97,0.0006402202172053256,6.6002084247971715e-06,0.6595993906854135
AAPL,194,0.0006354459283951287,3.2754944762635497e-06,0.3074579453749705
J,6,0.0005956648479007683,9.927747465012806e-05,7.115826259644505
WM,148,0.0005773427562322718,3.900964569136971e-06,0.5247287720849659
CMCSA,32,0.0005765529703731339,1.8017280324160434e-05,2.0248399294489476
TXT,76,0.0005724548159805644,7.532300210270584e-06,0.6785805681282654
BR,233,0.0005666439732899384,2.4319483832186194e-06,0.32875630276193657
PEG,163,0.0005558277575765942,3.4099862428011913e-06,0.3700040777931816
SO,138,0.0005464252593167746,3.959603328382424e-06,0.604530674977388
PLD,40,0.0005351425889472019,1.3378564723680048e-05,1.7702770266483967
CFG,202,0.0005195339326825533,2.5719501617948185e-06,0.21598529430348762
AIG,135,0.0005186927006597803,3.84216815303541e-06,0.45442628513723476
CMS,77,0.0005179418401278805,6.726517404258188e-06,1.3497206145898695
LYV,268,0.0005109556533823424,1.9065509454565013e-06,0.17855428927256195
AOS,58,0.000509464006615811,8.783862183031225e-06,1.1619469303416745
AME,66,0.0004998530541713837,7.573531123808844e-06,1.073933575070179
AVB,61,0.0004856318834887999,7.961178417849179e-06,0.9884934782262945
CL,132,0.00047776293026230356,3.6194161383507846e-06,0.520662588782004
MMC,113,0.00045156816477655217,3.9961784493500195e-06,0.5668803142939116
CHRW,202,0.00044996857939831256,2.2275672247441216e-06,0.15347367845464982
VTR,301,0.0004489338528304729,1.4914745941211725e-06,0.1843347926021748
PCAR,124,0.0004216965582716975,3.4007786957394958e-06,0.38483456021149637
SHW,156,0.00040784362360984325,2.6143822026272003e-06,0.32035377497857354
AIZ,192,0.00040559708101765217,2.1124847969669385e-06,0.2981073310981778
FANG,117,0.0003973602308735144,3.3962412895172173e-06,0.3279283594950005
CPT,44,0.00037457641128417306,8.51310025645848e-06,0.9002619762022244
LNT,130,0.0003706868721591015,2.8514374781469345e-06,0.48292294535084684
WMT,276,0.0003558000052524674,1.2891304538132877e-06,0.14570588220179154
