train_start,train_end,test_start,test_end,is_sharpe,oos_sharpe,lookback,ts_threshold
2006-10-31,2011-09-30,2011-10-31,2012-09-30,-0.1432107418056152,-0.14722956478305613,6,0.25
2007-10-31,2012-09-30,2012-10-31,2013-09-30,-0.09641944972591684,2.7695162625032754,12,0.25
2008-10-31,2013-09-30,2013-10-31,2014-09-30,0.9174790604539501,1.2875827746340736,6,0.0
2009-10-31,2014-09-30,2014-10-31,2015-09-30,1.0521888094242273,0.3877071076993384,12,0.0
2010-10-31,2015-09-30,2015-10-31,2016-09-30,0.9496247797663933,-0.27313965766557147,12,0.0
2011-10-31,2016-09-30,2016-10-31,2018-03-31,1.0883995801882325,1.6982968078854164,12,0.25
2012-10-31,2018-03-31,2018-04-30,2019-03-31,1.3162810926742141,0.3466813435438562,6,0.5
2013-10-31,2019-03-31,2019-04-30,2020-03-31,0.8354067940334984,-0.6121822005832696,9,0.5
2014-10-31,2020-03-31,2020-04-30,2021-03-31,0.32928871261460657,2.55431917100442,9,0.0
2015-10-31,2021-03-31,2021-04-30,2022-03-31,0.6137966301222846,0.19181701971514598,9,0.0
2016-10-31,2022-03-31,2022-04-30,2023-03-31,0.6518013653902681,-0.305943648567581,9,0.25
2018-04-30,2023-03-31,2023-04-30,2024-03-31,0.34405053787782186,0.3905728591051869,12,0.5
2019-04-30,2024-03-31,2024-04-30,2025-03-31,0.36639004782715473,0.6476062509899665,9,0.25
2020-04-30,2025-03-31,2025-04-30,2026-03-31,0.7371219389374547,1.0909488533718603,9,0.0
