,XS (full),TS (full),XS (+turn.penalty),TS (+turn.penalty),XS (walk-fwd OOS),TS (walk-fwd OOS),Benchmark (cap-wt)
CAGR,0.04550481806138906,0.056024160630745445,0.05050130761446536,0.05214909235701537,0.09505582092178377,0.07883811516480299,0.08479260828790691
Ann.Return,0.057637914953247556,0.06393050150070408,0.062160890600517216,0.05896981473359327,0.1028716688676854,0.08523719834919022,0.09398291681200227
Ann.Vol,0.15984712017507782,0.1358263179106488,0.15831761567427194,0.12641100921240436,0.1521128723451003,0.13434823036927526,0.15636845707995894
Sharpe,0.36058150369001163,0.47067830803423344,0.39263407508870746,0.4664927137359388,0.6762850985700882,0.6344497289983175,0.6010350077442035
Sortino,0.42805914088969027,0.6005501798088952,0.46852291875592106,0.6040066836738104,0.8461770221700623,0.7812600654602233,0.8137506863279959
Calmar,0.08736519870137253,0.20374240312032907,0.0956266544830681,0.18564259512926076,0.4000462960649727,0.3259198070523557,0.16021450208930368
MaxDrawdown,-0.5208574894556288,-0.2749754580918431,-0.528109112333395,-0.2809112441070142,-0.2376120510470755,-0.24189421280596934,-0.52924427677991
WinRate,0.5739130434782609,0.5782608695652174,0.5782608695652174,0.5869565217391305,0.6309523809523809,0.625,0.6304347826086957
ProfitFactor,1.3309972394975984,1.447383046570395,1.364224352493415,1.4449369966514765,1.6619899495982904,1.6300791637928065,1.5629058295445701
AvgWin,0.03365376854859468,0.029806227983749944,0.03355281752677365,0.027188983858871196,0.0341110393965358,0.02940231196192553,0.03449249197822538
AvgLoss,-0.03880896215283625,-0.03222227893814017,-0.03848361954373704,-0.030605518536792047,-0.035089787288470946,-0.03006225363672251,-0.03764790703465848
Skewness,-0.8498666659711741,-0.5664488018480747,-0.8334152954046355,-0.47951232581512193,-0.8305210969266967,-0.7759975229880386,-0.5427242360633185
Kurtosis,2.3659538571083676,1.156166428894288,2.436316328348229,1.2023304477242966,1.650049581080343,1.6962300326897326,1.099940200381675
Months,230.0,230.0,230.0,230.0,168.0,168.0,230.0
AvgLeverage,0.9629016893960544,0.8903178679834804,0.9629016893960544,0.8093230900929529,,,
AnnTurnover,3.507925817225308,1.853934869879037,2.549137486876293,1.3610342784024154,,,
AnnTCost,0.012660909185745564,0.00658256107729247,0.009162796866106278,0.00489520421114504,,,
