asset,periods_held,total_contribution,mean_per_period,sharpe
NVDA,63,0.1259563427449769,0.001999307027698046,1.7390776600817088
FDO,14,0.1149847228119999,0.00821319448657142,1.0237689343154255
MU,52,0.07825087663733045,0.0015048245507178933,1.21784522809883
AZO,75,0.07085505140024063,0.0009447340186698751,0.6999873853926222
DUK,12,0.060171050276423645,0.00501425418970197,1.0031001115326914
AMD,29,0.039154617546162694,0.0013501592257297481,1.0791125389972975
STX,22,0.03673091788258249,0.0016695871764810222,1.1313950744434889
LRCX,48,0.035287367683764156,0.0007351534934117533,0.8955283300864723
PHM,36,0.034875947208002,0.0009687763113333889,1.0210303176776228
WDC,29,0.033426584782574285,0.0011526408545715272,1.0590594292265536
DVN,27,0.03233939381193789,0.0011977553263680702,0.8429778430158208
HWM,34,0.03147288685375603,0.0009256731427575303,1.310547863102532
CTAS,71,0.028370591373124858,0.00039958579398767405,0.9427104678121275
STZ,38,0.02659893802152192,0.0006999720531979453,1.3883596906065525
MCK,53,0.025272779533550588,0.00047684489685944503,0.8605253465232693
AMAT,42,0.02492966097127221,0.0005935633564588622,0.8772605468236435
GLW,31,0.02366780783710981,0.0007634776721648326,0.959715025343767
NFLX,53,0.023267006266148665,0.0004390001182292201,0.6499863657298386
CRM,38,0.023089276777849187,0.0006076125467855049,1.1868728861377191
MA,57,0.02238286843549692,0.00039268190237713897,0.8051986725161858
MSFT,63,0.022204464025254556,0.0003524518099246755,0.8336863598178843
PWR,53,0.02218397473388927,0.0004185655610167787,1.014397969996649
LLY,65,0.021074437537986206,0.00032422211596901855,0.7062257492969097
CMI,40,0.020887457086075194,0.0005221864271518798,1.058746735033886
OXY,23,0.020796271241240824,0.0009041857061409054,0.6450849927207953
CDNS,29,0.020174903452905107,0.0006956863259622451,1.175050039599877
GEV,14,0.020147192183608973,0.0014390851559720696,1.4202568811578598
CTSH,25,0.01890189188595847,0.0007560756754383388,1.9857736843826468
CF,24,0.018030111485037536,0.0007512546452098974,0.7935923463160601
VISA,25,0.017979566801107447,0.0007191826720442979,1.7041782421387819
SNPS,23,0.01705146281560976,0.0007413679485047722,1.5535354504821932
CAT,43,0.01689315499708488,0.0003928640696996484,1.0970354108007794
AN,16,0.016440466265367208,0.0010275291415854505,1.0240229251137665
NI,47,0.01627776512961217,0.00034633542828962064,1.409881405288789
META,18,0.016269798824547686,0.0009038777124748714,1.4206229680634372
INTU,58,0.01623529532980236,0.0002799188849965924,0.6494204129724398
BK,29,0.016195982075385442,0.0005584821405305325,1.4635353056038798
NTAP,35,0.016177231827678145,0.000462206623647947,0.8467070805806721
COG,17,0.016133759503263814,0.0009490446766625772,0.5674894251271463
MYL,31,0.016127761812081278,0.00052025038103488,1.3865454899082328
UNH,49,0.01573373993306369,0.00032109673332783036,1.0019210132989027
NEM,25,0.015465168784724169,0.0006186067513889667,0.6311174809870966
FISV,47,0.015454526367541119,0.0003288197099476834,0.8590145241510163
MSCI,16,0.014560491677375179,0.0009100307298359487,1.5025811935618412
LEN,28,0.014465208067043031,0.0005166145738229654,1.0615999144549138
GE,37,0.014242048772463623,0.0003849202370936114,0.462281936873305
NRG,31,0.014073920043135029,0.00045399742074629125,0.7427517850419657
TDG,30,0.014071400189532717,0.0004690466729844239,1.1292146085906427
HSY,41,0.013888412596255718,0.00033874177064038336,0.8210075264381419
