period,drawdown
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,-0.012576184039468585
2007-11-30,-0.013515364102819283
2007-12-31,-0.03964141111907049
2008-01-31,-0.043132858285725884
2008-02-29,-0.04610648546611518
2008-03-31,-0.03913711319906288
2008-04-30,-0.03696129273552129
2008-05-31,-0.042252146835287774
2008-06-30,-0.050032141897964344
2008-07-31,-0.051103946184680504
2008-08-31,-0.0676556973000898
2008-09-30,-0.09234677236433897
2008-10-31,-0.1020676174416586
2008-11-30,-0.10240413838767448
2008-12-31,-0.10318308140297294
2009-01-31,-0.10482052591263413
2009-02-28,-0.10383055327197455
2009-03-31,-0.10394399149781086
2009-04-30,-0.10370299680684003
2009-05-31,-0.10344490405575246
2009-06-30,-0.10021474412998699
2009-07-31,-0.09913721079348914
2009-08-31,-0.09558775260638142
2009-09-30,-0.1031615806148296
2009-10-31,-0.07133728838572717
2009-11-30,-0.03648153453265035
2009-12-31,-0.06708248216418766
2010-01-31,-0.032917216839557395
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,-0.0646362716973593
2010-05-31,-0.1086409282716827
2010-06-30,-0.0757766678648294
2010-07-31,-0.08583484013863607
2010-08-31,-0.0436000608843059
2010-09-30,-0.033937459657007674
2010-10-31,-0.03017362604910656
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.0
2011-02-28,0.0
2011-03-31,0.0
2011-04-30,-0.005155283189413273
2011-05-31,-0.02097701735423596
2011-06-30,-0.049360319730218594
2011-07-31,-0.08228058412856798
2011-08-31,-0.1109686244216449
2011-09-30,-0.09156898303530092
2011-10-31,-0.09074500367173555
2011-11-30,-0.08915968479075231
2011-12-31,-0.08479360909102451
2012-01-31,-0.07713832657671216
2012-02-29,-0.06617780267367612
2012-03-31,-0.0644357179054752
2012-04-30,-0.08600984250566313
2012-05-31,-0.07394388712409217
2012-06-30,-0.06974451775411239
2012-07-31,-0.06330462083120314
2012-08-31,-0.054390107998539605
2012-09-30,-0.05987379315456087
2012-10-31,-0.05406606667089453
2012-11-30,-0.04839631937202771
2012-12-31,-0.01562777202058363
2013-01-31,-0.005567650542603775
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,-0.009849220917995893
2013-06-30,0.0
2013-07-31,-0.022540257894693827
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,-0.025094634567358387
2014-01-31,0.0
2014-02-28,0.0
2014-03-31,-0.0045332430569802185
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.022524837296078903
2014-07-31,0.0
2014-08-31,-0.016370772458859983
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.0
2014-12-31,-0.010077141439884585
2015-01-31,0.0
2015-02-28,-0.0006164997321695953
2015-03-31,-0.011192277365930314
2015-04-30,0.0
2015-05-31,-0.007784572026030445
2015-06-30,0.0
2015-07-31,-0.0243345471840668
2015-08-31,-0.0321574615686554
2015-09-30,-0.015916800063180525
2015-10-31,-0.015629787455012867
2015-11-30,-0.020105692703790812
2015-12-31,-0.043374445816557694
2016-01-31,-0.04376584336972689
2016-02-29,-0.033526625158476264
