train_start,train_end,test_start,test_end,is_sharpe,oos_sharpe,lookback,sma_window
2006-10-31,2011-09-30,2011-10-31,2012-09-30,-0.187447018222866,1.2489365960727676,12,6
2007-10-31,2012-09-30,2012-10-31,2013-09-30,-0.049977999040375,2.2872721961033053,12,6
2008-10-31,2013-09-30,2013-10-31,2014-09-30,0.7674873182461159,1.0925692505319549,12,6
2009-10-31,2014-09-30,2014-10-31,2015-09-30,0.9936078179361011,0.8745560826212174,12,12
2010-10-31,2015-09-30,2015-10-31,2016-09-30,0.9690553020071727,-0.23764725152795105,12,12
2011-10-31,2016-09-30,2016-10-31,2018-03-31,1.0605700506812694,1.8495197812043414,12,12
2012-10-31,2018-03-31,2018-04-30,2019-03-31,1.1996845137838479,0.15231457194112882,12,12
2013-10-31,2019-03-31,2019-04-30,2020-03-31,0.7824351656594251,-0.08155422101364866,9,6
2014-10-31,2020-03-31,2020-04-30,2021-03-31,0.5480624410202177,2.6308061474088995,9,6
2015-10-31,2021-03-31,2021-04-30,2022-03-31,0.8828057169367785,-0.3631370983759312,9,12
2016-10-31,2022-03-31,2022-04-30,2023-03-31,0.7619125765875501,0.25366195782648515,9,12
2018-04-30,2023-03-31,2023-04-30,2024-03-31,0.45266813682428875,0.9451373786554336,9,12
2019-04-30,2024-03-31,2024-04-30,2025-03-31,0.5300571394278185,-0.020748684172255342,9,12
2020-04-30,2025-03-31,2025-04-30,2026-03-31,0.6005046266721051,1.1608157967485748,6,6
